public_case_id,base_score_id,base_musicxml_path,prompt,expected_edit_actions_json,tags_json,difficulty
pe_0001,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 11, Flute 2 has a sustained A5 with a crescendo marking. Replace that long note with a descending 32nd-note run: A5, G5, F5, E5, D5, C5, B4, A4, starting at beat 1 and ending before beat 2. Keep the crescendo.","[{""args"":{""beat"":1,""measure"":11,""part"":""Flute 2"",""pitch"":""A5"",""voice"":1},""name"":""remove_note""},{""args"":{""beat"":1,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.125,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""F5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.375,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""E5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""D5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.625,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""C5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""B4"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.875,""duration"":""32nd"",""measure"":11,""part"":""Flute 2"",""pitch"":""A4"",""voice"":1},""name"":""add_note""}]","[""run"",""32nd"",""hairpin"",""woodwind"",""complex_run_creation""]",hard
pe_0002,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In measure 81, write an ascending eight-note 16th-note run in Flute 2 starting on G5. Place the notes on beats 1, 1.25, 1.5, 1.75, 2, 2.25, 2.5, and 2.75 with pitches G5, A5, Bb5, C6, D6, Eb6, F6, and G6. Add a slur from the first note to the last note to connect the entire run.","[{""args"":{""beat"":1.0,""measure"":81,""part"":""Flute 2"",""pitch"":null,""voice"":1},""name"":""remove_note""},{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""G5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""A5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""Bb5"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""C6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.0,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""D6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.25,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""Eb6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.5,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""F6"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":2.75,""duration"":""16th"",""measure"":81,""part"":""Flute 2"",""pitch"":""G6"",""voice"":1},""name"":""add_note""},{""args"":{""end_beat"":2.75,""end_measure"":81,""part"":""Flute 2"",""start_beat"":1.0,""start_measure"":81,""voice"":1},""name"":""add_slur""}]","[""scalar_run"",""16th_notes"",""ascending"",""full_measure"",""flute"",""complex_run_creation""]",hard
pe_0003,beethoven_op125_m1_violin1_bars001-200,datasets/scores/beethoven_op125_m1_violin1_bars001-200.musicxml,"The run in measures 34-35 already has a slur, but I want you to add another slur just on the first part of the run from the B-flat to the D, and put an accent on the B-flat that starts it.","[{""args"":{""end_beat"":2.875,""end_measure"":34,""part"":""Violin 1"",""start_beat"":2.25,""start_measure"":34,""voice"":1},""name"":""add_slur""},{""args"":{""articulation_type"":""accent"",""beat"":2.25,""measure_number"":34,""part"":""Violin 1"",""voice"":1},""name"":""add_articulation""}]","[""slur"",""articulation"",""multi_step"",""multi_call_notation""]",medium
pe_0004,delius_it_was_a_lover_and_his_lass_bars001-064,datasets/scores/delius_it_was_a_lover_and_his_lass_bars001-064.musicxml,"In measure 54, add a quick ascending scalar figure in the Piano LH part beginning at beat 1. Write four consecutive sixteenth notes: E3, F3, G3, and A3, each starting on successive sixteenth-note positions.","[{""args"":{""beat"":1.0,""duration"":""16th"",""measure"":54,""part"":2,""pitch"":""E3"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.25,""duration"":""16th"",""measure"":54,""part"":2,""pitch"":""F3"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.5,""duration"":""16th"",""measure"":54,""part"":2,""pitch"":""G3"",""voice"":1},""name"":""add_note""},{""args"":{""beat"":1.75,""duration"":""16th"",""measure"":54,""part"":2,""pitch"":""A3"",""voice"":1},""name"":""add_note""}]","[""scalar_run"",""sixteenth_notes"",""ascending"",""complex_run_creation""]",medium
pe_0005,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"Mark bars 74 through 75 as a repeated two-bar phrase, and label the start with rehearsal mark B.","[{""args"":{""end_measure"":75,""start_measure"":74,""times"":2},""name"":""add_repeat""},{""args"":{""measure_number"":74,""text"":""B""},""name"":""add_rehearsal_mark""}]","[""repeat"",""rehearsal-mark"",""structure"",""multi-call"",""multi_call_notation""]",medium
pe_0006,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a first-ending bracket over measures 124 and 125.,"[{""args"":{""end_measure"":125,""number"":1,""start_measure"":124},""name"":""add_ending_bracket""}]","[""layout"",""ending-bracket"",""structural"",""structural_layout""]",easy
pe_0007,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,"In Flute 1, change the last sixteenth note of bar 186 from A to Bb.","[{""args"":{""beat"":2.875,""measure"":186,""new_pitch"":""Bb5"",""part"":""Flute 1"",""voice"":1},""name"":""replace_note""}]","[""pitch_change"",""flute"",""single_note"",""simple_single_edit""]",easy
pe_0008,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a staccato mark to the first trumpet entry in measure 74.,"[{""args"":{""articulation_type"":""staccato"",""beat"":1.0,""measure_number"":74,""part"":""D Trumpet 1"",""voice"":1},""name"":""add_articulation""}]","[""articulation"",""brass"",""single-call"",""simple_single_edit""]",easy
pe_0009,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Change the bassoon 1 pickup at the end of measure 141 from the dotted-16th E-flat to a dotted-16th F.,"[{""args"":{""beat"":2.5,""measure"":141,""new_pitch"":""F4"",""part"":""Bassoon 1"",""voice"":1},""name"":""replace_note""}]","[""pitch-change"",""bassoon"",""single-note"",""simple_single_edit""]",easy
pe_0010,beethoven_op125_m1_full_bars001-200,datasets/scores/beethoven_op125_m1_full_bars001-200.musicxml,Add a slashed 8th grace-note A before the Flute 1 B at beat 2 of measure 108.,"[{""args"":{""beat"":2,""measure"":108,""part"":""Flute 1"",""pitch"":""A5"",""slash"":true,""voice"":1},""name"":""add_grace_note""}]","[""grace-note"",""flute"",""ornamental"",""simple_single_edit""]",easy
